problem,method,rho,num_steps,frequency,n_levels,rms_error
bimodal_sep4_d1,rx,4.25,32,2,2,0.0180065381410338
bimodal_sep4_d1,rx,4.5,32,2,2,0.0213124810813965
bimodal_sep4_d1,rx,4.75,32,2,2,0.0226231525385438
bimodal_sep4_d1,rx,5.0,32,2,2,0.0213275893348017
bimodal_sep4_d1,rx,5.25,32,2,2,0.0185680102231427
bimodal_sep4_d1,rx,5.5,32,2,2,0.0167199758917301
bimodal_sep4_d1,rx,5.75,32,2,2,0.0172487812941145
bimodal_sep4_d1,rx,6.0,32,2,2,0.0188779873542771
bimodal_sep4_d1,rx,6.25,32,2,2,0.020217463515688
bimodal_sep4_d1,rx,6.5,32,2,2,0.0208531789202772
bimodal_sep4_d1,rx,6.75,32,2,2,0.0207364823573889
bimodal_sep4_d1,rx,7.0,32,2,2,0.019981491038402
bimodal_sep4_d1,rx,7.25,32,2,2,0.0188490342937332
bimodal_sep4_d1,rx,7.5,32,2,2,0.0177041682513439
bimodal_sep4_d1,rx,7.75,32,2,2,0.0169109424554965
bimodal_sep4_d1,rx,8.0,32,2,2,0.0166729387316533
bimodal_sep4_d1,rx,8.25,32,2,2,0.0169480375539365
bimodal_sep4_d1,rx,8.5,32,2,2,0.0175355317608311
bimodal_sep4_d1,rx,8.75,32,2,2,0.0182284514273005
bimodal_sep4_d1,rx,9.0,32,2,2,0.018890455857319
bimodal_sep4_d1,rx,9.25,32,2,2,0.0194524420252461
bimodal_sep4_d1,rx,9.5,32,2,2,0.0198845594123955
bimodal_sep4_d1,rx,9.75,32,2,2,0.0201758098731079
bimodal_sep4_d1,rx,10.0,32,2,2,0.0203252753431684
bimodal_sep4_d1,rx,10.25,32,2,2,0.020339444419995
bimodal_sep4_d1,rx,10.5,32,2,2,0.0202311570853577
bimodal_sep4_d1,rx,10.75,32,2,2,0.0200185297982675
bimodal_sep4_d1,rx,11.0,32,2,2,0.0197236988345489
bimodal_sep4_d1,rx,11.25,32,2,2,0.0193714988823595
bimodal_sep4_d1,rx,11.5,32,2,2,0.018988086064525
bimodal_sep4_d1,rx,11.75,32,2,2,0.0185994543960317
bimodal_sep4_d1,rx,12.0,32,2,2,0.0182298532894831
bimodal_sep4_d1,rx,12.25,32,2,2,0.0179002235928068
bimodal_sep4_d1,rx,12.5,32,2,2,0.0176268576219678
bimodal_sep4_d1,rx,12.75,32,2,2,0.0174205108862691
bimodal_sep4_d1,rx,13.0,32,2,2,0.0172861345069782
bimodal_sep4_d1,rx,13.25,32,2,2,0.0172232716776816
bimodal_sep4_d1,rx,13.5,32,2,2,0.0172270123182528
bimodal_sep4_d1,rx,13.75,32,2,2,0.0172892848036302
bimodal_sep4_d1,rx,14.0,32,2,2,0.0174002238283851
bimodal_sep4_d1,rx,14.25,32,2,2,0.0175493924155554
bimodal_sep4_d1,rx,14.5,32,2,2,0.0177267228298939
bimodal_sep4_d1,rx,14.75,32,2,2,0.0179231342953955
bimodal_sep4_d1,rx,15.0,32,2,2,0.0181308555309152
