problem,method,rho,num_steps,frequency,n_levels,rms_error
bimodal_sep4_d1,rx,12.5,32,2,2,0.01762685762196787
bimodal_sep4_d1,rx,12.75,32,2,2,0.01742051088626914
bimodal_sep4_d1,rx,13.0,32,2,2,0.017286134506978294
bimodal_sep4_d1,rx,13.25,32,2,2,0.017223271677681642
bimodal_sep4_d1,rx,13.5,32,2,2,0.017227012318252848
bimodal_sep4_d1,rx,13.75,32,2,2,0.017289284803630203
bimodal_sep4_d1,rx,14.0,32,2,2,0.017400223828385162
bimodal_sep4_d1,rx,14.25,32,2,2,0.017549392415555417
bimodal_sep4_d1,rx,14.5,32,2,2,0.01772672282989394
bimodal_sep4_d1,rx,14.75,32,2,2,0.01792313429539552
bimodal_sep4_d1,rx,15.0,32,2,2,0.018130855530915202
